geoName,Insulin,Glucose,Heart Disease,Cholesterol,Diabetes
Alabama,19,16,11,24,85
Alaska,14,13,6,17,75
Arizona,15,17,8,21,70
Arkansas,16,16,10,19,78
California,11,13,7,17,61
Colorado,15,16,9,21,67
Connecticut,16,17,9,25,73
Delaware,19,19,11,27,89
District of Columbia,12,14,8,20,66
Florida,15,15,9,21,69
Georgia,15,14,9,22,72
Hawaii,11,16,9,23,73
Idaho,20,19,12,17,76
Illinois,16,15,9,22,73
Indiana,22,18,11,21,91
Iowa,18,19,13,23,82
Kansas,18,15,8,20,74
Kentucky,18,17,13,21,83
Louisiana,17,17,11,21,75
Maine,16,13,10,26,84
Maryland,18,19,11,22,83
Massachusetts,17,16,9,22,81
Michigan,18,16,11,22,72
Minnesota,17,18,12,21,81
Mississippi,16,15,13,25,78
Missouri,19,17,10,23,77
Montana,19,14,10,25,77
Nebraska,19,18,11,22,89
Nevada,12,13,8,20,65
New Hampshire,16,16,11,25,76
New Jersey,14,15,9,21,70
New Mexico,20,16,10,24,96
New York,14,14,9,20,64
North Carolina,17,15,12,24,80
North Dakota,21,15,11,20,90
Ohio,18,17,12,23,77
Oklahoma,16,16,8,21,77
Oregon,16,16,9,21,72
Pennsylvania,18,18,11,23,79
Rhode Island,14,16,10,24,72
South Carolina,17,16,12,21,76
South Dakota,21,18,14,24,90
Tennessee,20,17,10,25,85
Texas,15,16,9,21,72
Utah,17,14,9,19,73
Vermont,21,14,10,26,68
Virginia,10,11,7,16,63
Washington,14,15,8,19,66
West Virginia,25,20,17,15,100
Wisconsin,19,18,10,22,73
Wyoming,19,20,5,18,80
