geoName,Corticosteroids,Obstructive sleep apnea,Blood glucose,Glucose levels,Hyperglycemia
Alabama,17,10,68,20,45
Arizona,17,4,62,27,39
Arkansas,27,0,68,38,35
California,15,4,63,23,25
Colorado,15,9,63,26,30
Connecticut,17,6,84,38,41
District of Columbia,9,0,65,29,18
Florida,16,3,77,28,23
Georgia,15,6,63,25,29
Illinois,14,6,74,26,30
Indiana,17,10,96,28,45
Iowa,15,0,89,35,57
Kansas,15,11,74,33,35
Kentucky,19,13,88,31,31
Louisiana,30,9,84,23,29
Maryland,20,4,87,34,32
Massachusetts,22,8,67,21,34
Michigan,15,4,72,26,34
Minnesota,12,13,73,28,37
Mississippi,19,0,76,36,22
Missouri,15,7,93,26,31
Nevada,17,0,59,21,29
New Jersey,18,4,69,30,26
New York,16,5,58,22,26
North Carolina,19,5,76,29,35
North Dakota,20,0,0,83,59
Ohio,19,7,79,36,37
Oklahoma,23,0,90,25,24
Oregon,12,3,100,43,30
Pennsylvania,20,8,74,28,30
South Carolina,15,0,52,32,30
Tennessee,18,7,86,26,31
Texas,15,7,75,32,33
Utah,14,0,73,22,39
Vermont,27,0,0,27,56
Virginia,14,4,67,21,31
Washington,12,3,73,25,24
Wisconsin,19,7,77,30,40
