geoName,Insulin,Glucose,Heart Disease,Cholesterol,Diabetes
Alabama,19,13,10,22,80
Alaska,12,11,6,15,83
Arizona,16,14,9,19,76
Arkansas,12,17,11,18,78
California,12,13,8,17,65
Colorado,13,12,9,19,64
Connecticut,18,15,10,22,74
Delaware,15,11,9,16,69
District of Columbia,11,13,9,19,68
Florida,12,13,8,20,69
Georgia,15,14,9,19,72
Hawaii,8,12,8,18,71
Idaho,22,9,9,18,78
Illinois,13,14,10,17,70
Indiana,21,17,14,18,87
Iowa,20,15,13,25,87
Kansas,18,13,13,19,75
Kentucky,20,17,12,19,79
Louisiana,17,13,11,19,79
Maine,18,14,11,20,95
Maryland,15,16,12,20,83
Massachusetts,16,15,9,19,78
Michigan,18,12,10,17,73
Minnesota,17,15,12,19,80
Mississippi,15,15,15,27,93
Missouri,20,16,10,20,87
Montana,16,13,11,16,77
Nebraska,19,13,10,19,80
Nevada,13,12,8,17,62
New Hampshire,15,21,9,20,70
New Jersey,13,14,9,21,70
New Mexico,22,18,13,22,100
New York,12,12,10,19,68
North Carolina,18,14,11,22,86
North Dakota,28,20,12,19,88
Ohio,16,14,11,21,74
Oklahoma,19,13,9,20,75
Oregon,15,14,9,17,71
Pennsylvania,17,14,11,21,76
Rhode Island,12,8,10,15,73
South Carolina,16,14,11,18,83
South Dakota,18,15,11,21,90
Tennessee,18,15,13,20,85
Texas,13,13,9,19,78
Utah,17,15,13,17,85
Vermont,14,13,11,22,68
Virginia,14,14,8,19,72
Washington,14,12,8,18,63
West Virginia,15,18,11,19,96
Wisconsin,19,14,11,19,71
Wyoming,17,13,11,19,60
