geoName,2 diabetes,Type 2 diabetes,Hypertension,Diabetes in,Type 2
Alabama,39,33,87,45,49
Alaska,0,30,53,0,0
Arizona,31,29,77,30,40
Arkansas,30,28,69,30,39
California,23,18,48,18,25
Colorado,27,24,67,29,35
Connecticut,31,30,74,32,39
Delaware,0,27,98,0,0
District of Columbia,25,23,63,30,31
Florida,30,27,71,30,38
Georgia,29,26,74,33,36
Hawaii,0,23,79,0,38
Idaho,0,28,81,0,38
Illinois,26,23,69,33,35
Indiana,41,35,83,44,48
Iowa,32,31,97,34,44
Kansas,30,30,67,20,40
Kentucky,32,29,79,40,42
Louisiana,34,32,94,37,43
Maine,44,41,61,0,54
Maryland,32,29,94,37,42
Massachusetts,26,23,67,30,35
Michigan,32,30,75,31,42
Minnesota,30,29,84,31,42
Mississippi,0,30,80,0,44
Missouri,36,34,84,35,50
Montana,0,21,80,0,34
Nebraska,39,33,76,0,50
Nevada,29,28,62,0,37
New Hampshire,0,35,51,0,50
New Jersey,30,26,65,31,34
New Mexico,0,44,83,0,59
New York,26,24,67,28,35
North Carolina,31,29,80,36,40
North Dakota,0,45,98,0,0
Ohio,33,31,80,39,44
Oklahoma,31,31,58,33,43
Oregon,34,33,60,34,42
Pennsylvania,32,29,86,34,43
Rhode Island,0,22,56,0,43
South Carolina,29,31,81,33,38
South Dakota,0,40,81,0,0
Tennessee,35,32,87,34,47
Texas,29,27,75,32,39
Utah,25,26,75,30,32
Vermont,0,30,70,0,0
Virginia,23,16,40,18,21
Washington,26,25,60,24,33
West Virginia,0,25,100,0,50
Wisconsin,27,26,82,27,39
Wyoming,0,25,66,0,0
