geoName,Insulin,Glucose,Heart Disease,Cholesterol,Diabetes
Alabama,21,19,14,31,87
Alaska,17,14,13,16,72
Arizona,18,17,11,26,82
Arkansas,19,15,13,27,76
California,11,12,7,18,63
Colorado,17,17,10,24,68
Connecticut,20,18,12,26,76
Delaware,22,24,14,33,97
District of Columbia,15,15,10,25,73
Florida,18,16,10,26,74
Georgia,17,17,11,26,77
Hawaii,13,13,11,23,77
Idaho,24,17,10,25,88
Illinois,17,18,11,25,79
Indiana,29,24,15,28,95
Iowa,23,20,14,23,86
Kansas,17,17,11,24,77
Kentucky,22,17,14,28,83
Louisiana,24,19,10,29,85
Maine,17,20,11,28,72
Maryland,20,19,13,28,90
Massachusetts,17,18,11,24,79
Michigan,20,18,13,26,77
Minnesota,22,20,12,25,85
Mississippi,21,19,11,27,84
Missouri,22,20,13,26,84
Montana,17,13,16,24,86
Nebraska,21,17,13,25,83
Nevada,15,15,10,23,73
New Hampshire,19,20,12,24,81
New Jersey,15,17,10,25,72
New Mexico,26,19,11,30,100
New York,16,16,10,24,71
North Carolina,20,17,12,27,83
North Dakota,28,21,10,27,74
Ohio,20,18,13,26,81
Oklahoma,21,16,11,24,80
Oregon,18,16,12,24,77
Pennsylvania,20,20,13,26,86
Rhode Island,18,16,10,23,67
South Carolina,20,15,12,29,82
South Dakota,23,17,21,27,85
Tennessee,22,19,11,27,90
Texas,17,17,10,25,77
Utah,19,20,9,20,76
Vermont,18,16,12,24,80
Virginia,9,9,6,14,60
Washington,18,16,9,23,70
West Virginia,26,18,22,28,84
Wisconsin,22,19,12,24,73
Wyoming,21,13,9,21,89
