geoName,Insulin,Glucose,Heart Disease,Cholesterol,Diabetes
Alabama,15,13,12,18,76
Alaska,13,10,11,15,89
Arizona,13,14,9,21,76
Arkansas,12,11,10,17,60
California,11,10,8,16,60
Colorado,10,11,9,19,64
Connecticut,11,9,10,17,69
Delaware,9,13,7,15,71
District of Columbia,7,9,10,18,61
Florida,11,10,8,20,61
Georgia,13,10,10,18,71
Hawaii,10,9,9,18,62
Idaho,18,6,10,12,60
Illinois,11,11,10,18,72
Indiana,19,16,12,21,87
Iowa,15,17,16,19,74
Kansas,13,9,11,21,67
Kentucky,18,11,14,17,82
Louisiana,10,9,12,18,65
Maine,15,14,15,20,79
Maryland,13,15,11,19,71
Massachusetts,14,12,8,18,76
Michigan,16,13,10,18,70
Minnesota,13,13,11,16,76
Mississippi,16,18,10,27,82
Missouri,15,12,10,19,78
Montana,19,6,8,20,79
Nebraska,12,11,8,16,75
Nevada,13,7,5,18,73
New Hampshire,13,10,10,16,66
New Jersey,11,12,9,21,63
New Mexico,14,12,13,23,100
New York,10,10,10,18,62
North Carolina,15,13,11,21,77
North Dakota,26,11,16,20,79
Ohio,15,12,11,19,74
Oklahoma,16,12,9,19,81
Oregon,12,10,11,17,67
Pennsylvania,14,12,11,17,78
Rhode Island,10,13,11,21,68
South Carolina,13,14,10,19,75
South Dakota,13,10,12,12,83
Tennessee,19,13,9,20,79
Texas,13,12,9,17,71
Utah,16,10,11,16,76
Vermont,10,12,14,16,79
Virginia,12,11,9,19,68
Washington,11,11,8,15,63
West Virginia,20,11,12,25,75
Wisconsin,13,13,10,17,70
Wyoming,20,8,12,10,73
