geoName,2 diabetes,Type 2 diabetes,Hypertension,Diabetes in,Type 2
Alabama,52,52,92,49,69
Alaska,0,53,85,0,0
Arizona,56,51,84,44,70
Arkansas,52,48,76,50,72
California,48,43,61,36,58
Colorado,47,45,65,36,59
Connecticut,53,48,83,46,63
Delaware,0,52,83,0,0
District of Columbia,37,36,70,35,50
Florida,48,42,74,38,60
Georgia,48,45,74,42,61
Hawaii,0,42,69,0,57
Idaho,0,53,78,0,70
Illinois,45,42,62,38,57
Indiana,60,58,71,50,75
Iowa,58,54,71,46,72
Kansas,50,46,72,40,61
Kentucky,53,51,87,50,70
Louisiana,47,45,81,44,61
Maine,55,50,82,0,71
Maryland,54,49,83,48,66
Massachusetts,49,43,68,42,58
Michigan,50,47,73,40,65
Minnesota,60,57,80,45,73
Mississippi,0,52,100,0,79
Missouri,56,52,80,44,74
Montana,0,52,67,0,70
Nebraska,50,47,79,0,67
Nevada,44,42,63,0,53
New Hampshire,0,50,65,0,63
New Jersey,49,44,66,43,58
New Mexico,0,46,80,0,65
New York,47,42,68,39,58
North Carolina,50,47,71,41,63
North Dakota,0,58,77,0,0
Ohio,54,49,86,45,68
Oklahoma,53,48,74,45,64
Oregon,51,45,66,39,59
Pennsylvania,52,47,83,44,65
Rhode Island,0,44,66,0,58
South Carolina,49,46,75,45,66
South Dakota,0,58,91,0,0
Tennessee,53,50,87,44,70
Texas,49,44,67,39,58
Utah,50,48,65,44,60
Virginia,48,44,74,40,59
Washington,48,45,58,34,58
West Virginia,0,60,95,0,84
Wisconsin,53,49,69,44,66
Wyoming,0,56,68,0,0
