geoName,Corticosteroids,Obstructive sleep apnea,Blood glucose,Glucose levels,Hyperglycemia
Alabama,16,0,29,14,14
Arizona,13,5,24,7,12
Arkansas,0,0,34,0,40
California,6,2,23,5,10
Colorado,8,4,21,8,15
Connecticut,7,4,29,12,12
Delaware,0,0,0,24,27
District of Columbia,9,0,17,7,8
Florida,7,7,32,10,14
Georgia,6,4,21,6,14
Illinois,6,3,30,8,12
Indiana,6,7,35,17,9
Iowa,9,0,44,0,28
Kansas,7,7,23,15,21
Kentucky,17,17,22,13,26
Louisiana,13,0,39,21,22
Maryland,12,6,33,15,12
Massachusetts,9,5,26,9,10
Michigan,6,3,37,15,14
Minnesota,7,6,26,10,12
Mississippi,0,0,19,0,18
Missouri,7,7,34,8,18
Nebraska,19,0,0,14,31
Nevada,11,0,23,15,25
New Jersey,12,2,23,7,6
New York,8,1,23,6,9
North Carolina,9,2,20,8,16
Ohio,11,5,28,10,11
Oklahoma,14,0,24,7,29
Oregon,4,0,41,9,12
Pennsylvania,11,4,26,10,12
South Carolina,11,0,29,10,26
Tennessee,4,4,33,19,18
Texas,7,4,27,8,14
Utah,15,0,28,14,12
Vermont,0,0,0,19,100
Virginia,8,3,21,5,14
Washington,5,3,25,5,10
West Virginia,20,20,0,20,61
Wisconsin,4,5,25,9,12
