geoName,2 diabetes,Type 2 diabetes,Hypertension,Diabetes in,Type 2
Alabama,47,46,75,46,58
Alaska,0,36,55,0,0
Arizona,36,35,73,39,46
Arkansas,43,38,72,46,51
California,32,29,53,29,37
Colorado,28,28,55,31,36
Connecticut,33,30,61,38,40
Delaware,0,39,78,0,0
District of Columbia,29,26,58,31,35
Florida,32,29,65,33,40
Georgia,32,30,58,35,40
Hawaii,0,29,61,0,40
Idaho,0,38,68,0,57
Illinois,31,29,57,33,39
Indiana,46,42,73,49,54
Iowa,42,37,67,36,50
Kansas,36,32,59,41,42
Kentucky,41,40,70,45,51
Louisiana,36,31,72,39,43
Maine,37,37,64,0,47
Maryland,33,31,69,40,42
Massachusetts,31,28,60,37,39
Michigan,33,30,65,36,41
Minnesota,32,30,63,38,41
Mississippi,0,36,88,0,48
Missouri,33,31,63,36,43
Montana,0,35,60,0,43
Nebraska,36,34,69,0,49
Nevada,29,26,55,0,37
New Hampshire,0,28,56,0,43
New Jersey,34,32,59,39,41
New Mexico,0,41,75,0,51
New York,28,25,56,31,34
North Carolina,36,34,65,38,44
North Dakota,0,46,86,0,0
Ohio,37,35,73,40,45
Oklahoma,41,39,65,40,50
Oregon,34,31,65,37,42
Pennsylvania,35,32,73,39,43
Rhode Island,0,36,68,0,44
South Carolina,38,38,67,45,51
South Dakota,0,43,92,0,0
Tennessee,39,36,83,42,50
Texas,33,30,59,34,40
Utah,35,33,56,39,44
Vermont,0,36,63,0,0
Virginia,34,31,58,37,44
Washington,32,31,53,29,39
West Virginia,0,33,100,0,45
Wisconsin,36,35,65,38,45
Wyoming,0,42,63,0,0
