geoName,Insulin,Glucose,Heart Disease,Cholesterol,Diabetes
Alabama,18,15,12,22,73
Alaska,12,12,10,15,70
Arizona,14,13,8,20,62
Arkansas,17,14,10,19,80
California,11,12,7,17,54
Colorado,12,12,7,18,57
Connecticut,13,14,10,20,65
Delaware,16,14,13,20,100
District of Columbia,11,12,8,21,61
Florida,13,13,9,20,62
Georgia,13,13,8,21,67
Hawaii,10,10,9,19,64
Idaho,21,15,8,18,66
Illinois,13,14,9,19,64
Indiana,22,17,11,19,82
Iowa,15,14,12,20,74
Kansas,14,13,8,18,69
Kentucky,16,15,10,19,71
Louisiana,17,14,9,22,68
Maine,16,14,13,22,72
Maryland,16,16,10,23,75
Massachusetts,15,14,8,21,66
Michigan,15,13,9,18,65
Minnesota,15,15,10,18,68
Mississippi,14,13,12,21,71
Missouri,17,15,9,22,71
Montana,18,13,10,18,61
Nebraska,19,14,12,19,72
Nevada,11,11,6,17,49
New Hampshire,15,13,9,21,64
New Jersey,12,13,8,19,62
New Mexico,18,15,8,18,84
New York,13,11,8,18,60
North Carolina,14,15,10,22,68
North Dakota,16,14,14,23,87
Ohio,15,13,9,20,67
Oklahoma,14,13,9,19,73
Oregon,14,14,9,19,63
Pennsylvania,16,15,9,22,69
Rhode Island,13,11,9,18,66
South Carolina,15,13,8,22,67
South Dakota,20,12,13,21,73
Tennessee,17,14,10,23,75
Texas,13,13,8,20,65
Utah,16,11,10,17,65
Vermont,19,13,11,17,64
Virginia,12,12,8,19,64
Washington,12,12,7,18,63
West Virginia,22,20,12,21,93
Wisconsin,16,14,9,20,65
Wyoming,19,14,9,16,78
