geoName,Corticosteroids,Obstructive sleep apnea,Blood glucose,Glucose levels,Hyperglycemia
Alabama,26,5,76,40,35
Arizona,19,5,68,34,32
Arkansas,21,0,87,41,39
California,16,4,54,29,24
Colorado,16,4,62,26,22
Connecticut,17,6,57,30,26
District of Columbia,14,0,50,27,29
Florida,20,5,57,32,28
Georgia,16,4,56,32,22
Illinois,15,4,55,30,25
Indiana,17,7,81,47,30
Iowa,19,0,73,40,35
Kansas,21,4,100,53,28
Kentucky,20,4,72,37,36
Louisiana,17,4,61,36,36
Maryland,16,8,73,38,29
Massachusetts,17,5,57,34,30
Michigan,17,4,64,30,29
Minnesota,19,7,70,40,29
Mississippi,24,0,95,48,41
Missouri,21,6,72,40,36
Nevada,14,0,57,28,26
New Jersey,18,5,62,35,22
New York,16,4,51,27,23
North Carolina,17,5,64,33,29
Ohio,21,5,75,41,33
Oklahoma,20,0,83,46,36
Oregon,14,3,72,35,31
Pennsylvania,23,5,67,40,32
South Carolina,20,0,67,35,32
Tennessee,17,7,68,43,38
Texas,17,4,56,31,31
Utah,13,0,59,32,27
Virginia,19,6,66,37,24
Washington,16,3,64,32,23
Wisconsin,17,6,69,37,29
