geoName,Insulin,Glucose,Heart Disease,Cholesterol,Diabetes
Alabama,24,22,12,28,92
Alaska,19,21,9,22,88
Arizona,21,22,11,23,84
Arkansas,23,23,12,25,94
California,17,20,9,22,74
Colorado,16,17,9,20,74
Connecticut,22,24,11,26,82
Delaware,25,25,12,28,92
District of Columbia,16,18,9,22,74
Florida,19,20,11,24,80
Georgia,17,18,9,21,76
Hawaii,17,20,10,22,77
Idaho,23,22,11,24,92
Illinois,18,20,10,22,78
Indiana,27,26,13,26,91
Iowa,21,24,12,22,86
Kansas,19,17,9,19,71
Kentucky,24,22,12,26,89
Louisiana,22,20,11,23,80
Maine,22,24,15,27,89
Maryland,22,25,12,27,92
Massachusetts,20,21,10,24,81
Michigan,20,22,11,22,80
Minnesota,20,23,12,23,83
Mississippi,23,23,13,25,90
Missouri,21,22,12,25,88
Montana,24,24,12,22,91
Nebraska,23,21,12,24,85
Nevada,17,18,9,21,76
New Hampshire,19,22,10,27,85
New Jersey,19,21,10,26,80
New Mexico,21,22,12,22,98
New York,17,17,10,23,73
North Carolina,20,20,11,24,82
North Dakota,21,27,11,22,95
Ohio,23,24,12,25,88
Oklahoma,20,22,11,23,81
Oregon,13,14,7,14,58
Pennsylvania,22,23,12,24,84
Rhode Island,20,21,12,27,78
South Carolina,20,20,10,23,84
South Dakota,29,28,12,23,100
Tennessee,24,24,13,27,93
Texas,19,20,9,22,82
Utah,19,21,11,21,85
Vermont,22,22,12,20,72
Virginia,14,16,8,18,67
Washington,18,21,9,21,74
West Virginia,29,27,14,28,100
Wisconsin,21,22,12,22,81
Wyoming,24,18,10,21,82
