geoName,Corticosteroids,Obstructive sleep apnea,Blood glucose,Glucose levels,Hyperglycemia
Alabama,28,6,80,46,39
Arizona,23,5,90,43,44
Arkansas,26,0,77,43,35
California,17,5,66,36,27
Colorado,20,5,68,33,25
Connecticut,19,5,80,51,37
District of Columbia,19,0,57,35,34
Florida,24,4,79,40,33
Georgia,17,6,76,39,32
Illinois,22,6,72,40,33
Indiana,23,9,99,54,42
Iowa,22,0,80,46,45
Kansas,25,6,82,49,38
Kentucky,21,6,84,50,48
Louisiana,25,8,77,44,46
Maryland,23,9,77,41,39
Massachusetts,20,6,65,35,34
Michigan,22,7,82,39,38
Minnesota,20,7,86,52,38
Mississippi,23,0,87,57,50
Missouri,21,8,84,45,43
Nevada,19,0,59,35,37
New Jersey,21,5,75,40,29
New York,16,4,57,27,28
North Carolina,20,7,72,37,29
Ohio,22,7,79,45,41
Oklahoma,20,0,100,48,44
Oregon,20,5,80,42,32
Pennsylvania,24,6,77,45,41
South Carolina,25,0,81,54,36
Tennessee,24,8,100,53,46
Texas,18,6,68,37,35
Utah,24,0,74,34,28
Virginia,22,6,72,38,32
Washington,14,6,72,40,28
Wisconsin,20,6,87,44,37
