geoName,Insulin,Glucose,Heart Disease,Cholesterol,Diabetes
Alabama,21,15,13,24,80
Alaska,14,17,10,21,78
Arizona,17,18,11,23,75
Arkansas,17,14,11,21,81
California,9,11,6,14,52
Colorado,15,15,9,21,66
Connecticut,16,16,11,24,73
Delaware,22,19,16,27,87
District of Columbia,12,15,9,23,68
Florida,15,15,10,22,67
Georgia,15,15,10,22,71
Hawaii,11,18,10,18,72
Idaho,20,19,9,26,85
Illinois,16,17,10,25,74
Indiana,27,22,14,27,96
Iowa,18,19,13,23,84
Kansas,15,17,10,24,74
Kentucky,22,19,11,21,82
Louisiana,19,16,11,23,72
Maine,17,17,10,21,68
Maryland,19,20,11,26,83
Massachusetts,16,16,8,22,71
Michigan,18,18,10,22,71
Minnesota,21,19,12,25,78
Mississippi,16,16,10,22,77
Missouri,20,19,13,24,83
Montana,21,15,9,19,82
Nebraska,20,18,12,28,78
Nevada,14,14,7,22,77
New Hampshire,18,19,10,21,71
New Jersey,16,15,8,22,67
New Mexico,23,22,12,23,100
New York,15,14,9,21,64
North Carolina,19,17,12,25,79
North Dakota,19,21,12,25,76
Ohio,20,18,11,25,77
Oklahoma,17,17,9,22,75
Oregon,18,18,10,24,71
Pennsylvania,19,19,11,24,81
Rhode Island,15,17,8,22,68
South Carolina,17,17,11,22,77
South Dakota,23,22,14,27,80
Tennessee,24,21,11,27,87
Texas,15,15,9,21,68
Utah,18,16,10,22,73
Vermont,9,12,6,14,53
Virginia,7,7,4,10,49
Washington,16,16,9,21,67
West Virginia,20,22,14,31,97
Wisconsin,19,18,11,25,77
Wyoming,20,23,9,21,70
