geoName,2 diabetes,Type 2 diabetes,Hypertension,Diabetes in,Type 2
Alabama,58,55,90,46,70
Alaska,0,45,76,0,0
Arizona,56,50,73,40,63
Arkansas,55,51,79,47,69
California,46,42,57,31,53
Colorado,45,42,61,34,55
Connecticut,49,46,80,37,57
Delaware,0,47,86,0,0
District of Columbia,42,38,59,31,51
Florida,48,44,77,36,58
Georgia,50,46,64,35,57
Hawaii,0,40,64,0,56
Idaho,0,53,62,0,66
Illinois,47,44,63,36,55
Indiana,55,53,72,45,69
Iowa,59,55,68,40,69
Kansas,43,40,49,31,51
Kentucky,55,51,75,46,68
Louisiana,48,45,81,39,61
Maine,57,53,66,0,69
Maryland,52,50,84,42,63
Massachusetts,46,45,70,38,56
Michigan,53,52,72,37,65
Minnesota,54,51,71,41,64
Mississippi,0,67,100,0,81
Missouri,54,50,78,41,66
Montana,0,48,62,0,63
Nebraska,56,47,69,0,63
Nevada,48,45,64,0,55
New Hampshire,0,47,66,0,59
New Jersey,47,44,62,38,54
New Mexico,0,49,75,0,63
New York,42,39,60,33,50
North Carolina,50,47,66,40,60
North Dakota,0,57,80,0,0
Ohio,50,48,80,41,63
Oklahoma,52,46,64,32,61
Oregon,36,35,51,25,46
Pennsylvania,50,47,77,39,59
Rhode Island,0,53,68,0,70
South Carolina,48,48,68,38,63
South Dakota,0,50,77,0,0
Tennessee,50,48,85,43,63
Texas,47,44,61,35,55
Utah,57,53,58,47,62
Vermont,0,45,70,0,0
Virginia,30,27,48,27,36
Washington,48,45,52,34,58
West Virginia,0,50,86,0,75
Wisconsin,50,47,63,38,61
Wyoming,0,40,67,0,0
