geoName,Insulin,Glucose,Heart Disease,Cholesterol,Diabetes
Alabama,25,23,11,23,87
Alaska,22,23,11,19,94
Arizona,25,24,11,22,90
Arkansas,22,23,12,21,85
California,19,22,10,20,79
Colorado,21,21,9,20,73
Connecticut,24,24,12,25,85
Delaware,23,25,12,23,89
District of Columbia,18,20,9,20,78
Florida,22,21,10,23,80
Georgia,21,21,11,23,78
Hawaii,21,25,11,22,80
Idaho,25,22,13,23,88
Illinois,21,22,10,21,77
Indiana,27,25,13,22,91
Iowa,23,23,11,22,84
Kansas,21,20,10,21,77
Kentucky,29,26,12,24,91
Louisiana,24,23,10,23,82
Maine,26,24,12,20,88
Maryland,22,26,11,23,92
Massachusetts,23,24,10,21,84
Michigan,22,22,11,22,80
Minnesota,24,26,13,21,89
Mississippi,25,26,11,26,100
Missouri,27,25,12,24,89
Montana,26,24,12,22,82
Nebraska,24,22,10,21,86
Nevada,19,21,10,19,77
New Hampshire,21,23,11,22,81
New Jersey,21,23,10,24,83
New Mexico,22,23,11,20,90
New York,19,21,10,22,80
North Carolina,22,22,11,22,84
North Dakota,26,25,10,20,90
Ohio,25,24,12,22,84
Oklahoma,26,24,11,21,86
Oregon,21,25,10,21,85
Pennsylvania,25,25,12,24,85
Rhode Island,21,25,11,19,83
South Carolina,23,22,11,22,82
South Dakota,25,29,13,25,98
Tennessee,26,24,11,24,87
Texas,21,21,10,21,81
Utah,23,19,10,20,83
Vermont,19,27,11,20,73
Virginia,22,23,11,24,85
Washington,21,23,10,20,79
West Virginia,33,31,14,26,94
Wisconsin,23,24,11,22,81
Wyoming,26,27,12,20,81
