geoName,2 diabetes,Type 2 diabetes,Hypertension,Diabetes in,Type 2
Alabama,35,32,87,25,41
Alaska,0,25,49,0,0
Arizona,22,21,63,20,29
Arkansas,23,24,68,18,34
California,18,15,46,15,22
Colorado,20,20,53,22,26
Connecticut,24,22,63,21,30
Delaware,0,19,83,0,0
District of Columbia,18,17,64,21,24
Florida,22,20,63,24,27
Georgia,20,18,64,24,27
Hawaii,0,20,70,0,25
Idaho,0,28,56,0,37
Illinois,23,20,64,23,30
Indiana,35,31,74,30,38
Iowa,31,26,66,21,42
Kansas,18,16,63,19,24
Kentucky,23,20,71,24,28
Louisiana,24,22,89,27,30
Maine,22,21,54,0,36
Maryland,23,22,82,24,30
Massachusetts,24,20,60,25,28
Michigan,22,19,70,21,31
Minnesota,25,22,70,21,31
Mississippi,0,22,78,0,27
Missouri,23,20,76,23,29
Montana,0,30,72,0,40
Nebraska,31,27,65,0,38
Nevada,22,17,47,0,30
New Hampshire,0,21,65,0,29
New Jersey,20,19,64,23,27
New Mexico,0,29,74,0,32
New York,18,17,62,19,24
North Carolina,23,21,72,28,28
North Dakota,0,40,100,0,0
Ohio,24,23,66,22,32
Oklahoma,25,23,81,23,31
Oregon,21,20,61,17,27
Pennsylvania,26,25,68,27,34
Rhode Island,0,14,70,0,23
South Carolina,28,21,71,20,30
South Dakota,0,45,74,0,0
Tennessee,28,25,86,30,37
Texas,21,19,63,23,28
Utah,27,24,55,17,31
Vermont,0,15,75,0,0
Virginia,17,13,45,16,19
Washington,19,14,57,18,22
West Virginia,0,23,80,0,34
Wisconsin,26,24,65,22,30
Wyoming,0,34,67,0,0
