geoName,2 diabetes,Type 2 diabetes,Hypertension,Diabetes in,Type 2
Alabama,46,43,79,46,54
Alaska,0,31,65,0,0
Arizona,42,38,74,40,51
Arkansas,46,44,71,51,55
California,36,32,55,32,42
Colorado,35,33,58,33,45
Connecticut,38,36,66,41,43
Delaware,0,54,81,0,0
District of Columbia,30,27,64,36,38
Florida,35,31,69,36,43
Georgia,36,33,62,38,43
Hawaii,0,42,71,0,49
Idaho,0,46,67,0,56
Illinois,36,32,59,34,43
Indiana,51,49,72,50,60
Iowa,49,44,68,45,57
Kansas,40,39,58,39,49
Kentucky,45,43,81,50,53
Louisiana,39,36,80,41,49
Maine,42,36,76,0,45
Maryland,43,41,74,46,55
Massachusetts,35,33,64,39,43
Michigan,40,37,71,39,50
Minnesota,40,38,67,37,50
Mississippi,0,41,79,0,55
Missouri,42,38,74,42,52
Montana,0,40,77,0,52
Nebraska,39,37,72,0,45
Nevada,37,34,66,0,43
New Hampshire,0,38,63,0,50
New Jersey,39,34,66,42,45
New Mexico,0,45,83,0,58
New York,34,31,62,33,40
North Carolina,40,37,66,43,52
North Dakota,0,45,85,0,0
Ohio,42,39,79,44,52
Oklahoma,39,38,69,44,49
Oregon,29,26,45,27,33
Pennsylvania,39,35,82,44,47
Rhode Island,0,37,65,0,43
South Carolina,46,43,76,47,58
South Dakota,0,40,100,0,0
Tennessee,40,39,86,46,53
Texas,36,32,66,37,43
Utah,39,38,56,42,47
Vermont,0,30,70,0,0
Virginia,38,35,65,40,47
Washington,40,36,57,34,47
West Virginia,0,52,99,0,69
Wisconsin,41,40,65,38,52
Wyoming,0,37,78,0,0
