geoName,2 diabetes,Type 2 diabetes,Hypertension,Diabetes in,Type 2
Alabama,12,10,56,15,20
Alaska,0,14,58,0,0
Arizona,16,14,48,15,21
Arkansas,6,7,61,10,11
California,12,11,42,11,16
Colorado,11,8,46,12,13
Connecticut,20,18,56,15,24
Delaware,0,12,60,0,0
District of Columbia,13,12,47,10,13
Florida,13,11,47,13,17
Georgia,11,10,51,12,16
Hawaii,0,15,41,0,19
Idaho,0,15,47,0,17
Illinois,13,11,50,18,15
Indiana,13,12,56,21,16
Iowa,14,14,67,15,19
Kansas,12,11,32,12,15
Kentucky,19,16,59,18,23
Louisiana,13,11,56,11,20
Maine,13,12,63,0,21
Maryland,14,13,55,17,20
Massachusetts,11,9,52,17,14
Michigan,12,11,51,16,17
Minnesota,17,17,56,16,24
Mississippi,0,11,80,0,14
Missouri,12,12,66,16,18
Montana,0,20,33,0,35
Nebraska,18,18,56,0,18
Nevada,11,13,42,0,16
New Hampshire,0,15,55,0,15
New Jersey,13,11,46,14,16
New Mexico,0,10,58,0,20
New York,13,11,45,12,15
North Carolina,15,13,51,19,18
North Dakota,0,26,100,0,0
Ohio,12,11,55,13,17
Oklahoma,11,12,57,16,16
Oregon,19,17,41,14,24
Pennsylvania,13,12,56,15,18
Rhode Island,0,12,43,0,21
South Carolina,15,13,51,19,18
South Dakota,0,8,66,0,0
Tennessee,16,15,55,18,21
Texas,13,12,52,14,16
Utah,21,17,45,11,25
Vermont,0,12,42,0,0
Virginia,12,11,49,14,15
Washington,13,12,46,10,16
West Virginia,0,19,62,0,31
Wisconsin,9,9,47,13,17
