geoName,Corticosteroids,Obstructive sleep apnea,Blood glucose,Glucose levels,Hyperglycemia
Alabama,24,7,86,39,37
Arizona,19,7,88,44,33
Arkansas,20,0,86,36,34
California,16,5,73,31,27
Colorado,16,7,68,34,27
Connecticut,21,7,72,32,30
District of Columbia,15,0,61,29,29
Florida,20,5,75,35,30
Georgia,17,5,72,32,28
Illinois,19,5,72,32,28
Indiana,21,6,89,41,34
Iowa,20,0,84,40,36
Kansas,18,6,79,39,26
Kentucky,24,7,96,40,39
Louisiana,21,7,77,33,38
Maryland,20,8,74,33,35
Massachusetts,19,6,69,34,33
Michigan,20,7,72,35,31
Minnesota,19,6,83,40,34
Mississippi,24,0,100,44,44
Missouri,21,7,85,38,33
Nevada,18,0,69,28,27
New Jersey,17,4,69,32,30
New York,18,5,67,33,27
North Carolina,17,5,72,34,30
Ohio,19,6,84,40,35
Oklahoma,22,0,83,32,33
Oregon,18,7,92,38,30
Pennsylvania,21,7,79,38,34
South Carolina,17,0,79,40,33
Tennessee,23,6,88,37,36
Texas,16,6,73,32,30
Utah,14,0,76,33,25
Virginia,18,7,80,36,31
Washington,15,5,79,33,30
Wisconsin,18,5,84,42,30
