geoName,2 diabetes,Type 2 diabetes,Hypertension,Diabetes in,Type 2
Alabama,17,16,73,26,23
Alaska,0,7,48,0,0
Arizona,17,14,49,13,19
Arkansas,24,24,48,24,33
California,13,12,41,12,16
Colorado,13,11,43,13,17
Connecticut,13,12,51,18,19
Delaware,0,25,49,0,0
District of Columbia,11,10,47,15,15
Florida,13,12,47,14,17
Georgia,17,15,51,16,20
Hawaii,0,17,48,0,16
Idaho,0,20,42,0,25
Illinois,16,14,46,15,19
Indiana,21,20,55,17,27
Iowa,22,24,57,18,26
Kansas,19,19,62,12,23
Kentucky,15,14,47,15,20
Louisiana,15,14,60,14,21
Maine,7,6,55,0,15
Maryland,15,12,65,17,17
Massachusetts,17,16,47,15,20
Michigan,17,17,48,16,24
Minnesota,15,14,51,14,20
Mississippi,0,14,61,0,22
Missouri,18,18,60,18,26
Montana,0,18,57,0,20
Nebraska,22,23,58,0,26
Nevada,13,10,44,0,15
New Hampshire,0,12,36,0,13
New Jersey,12,11,47,15,14
New Mexico,0,19,64,0,28
New York,13,12,45,14,16
North Carolina,14,13,54,16,18
North Dakota,0,9,67,0,0
Ohio,15,14,55,18,19
Oklahoma,16,12,50,20,20
Oregon,14,12,48,12,17
Pennsylvania,16,14,55,17,20
Rhode Island,0,9,42,0,12
South Carolina,13,12,54,18,16
South Dakota,0,13,63,0,0
Tennessee,15,15,65,22,21
Texas,14,12,52,14,18
Utah,15,13,50,16,19
Vermont,0,10,62,0,0
Virginia,11,11,53,15,15
Washington,13,12,44,12,18
West Virginia,0,14,100,0,20
Wisconsin,19,18,57,17,23
Wyoming,0,26,68,0,0
