geoName,2 diabetes,Type 2 diabetes,Hypertension,Diabetes in,Type 2
Alabama,7,10,57,20,12
Alaska,0,8,37,0,0
Arizona,8,10,61,13,13
Arkansas,9,6,49,12,9
California,10,8,43,10,11
Colorado,9,10,53,4,16
Connecticut,8,6,64,13,8
Delaware,0,11,75,0,0
District of Columbia,8,7,54,16,14
Florida,10,9,49,12,12
Georgia,11,10,53,11,15
Hawaii,0,15,47,0,15
Idaho,0,17,44,0,17
Illinois,9,8,52,12,14
Indiana,18,17,51,10,22
Iowa,14,11,60,13,13
Kansas,14,14,37,12,20
Kentucky,12,10,83,15,23
Louisiana,7,9,58,17,7
Maine,13,10,87,0,20
Maryland,5,5,60,13,8
Massachusetts,9,10,56,13,13
Michigan,11,10,62,17,17
Minnesota,11,11,63,10,16
Mississippi,0,22,100,0,30
Missouri,13,14,62,12,17
Montana,0,11,55,0,11
Nebraska,25,21,52,0,27
Nevada,11,11,32,0,13
New Hampshire,0,10,40,0,5
New Jersey,11,10,51,14,12
New Mexico,0,22,68,0,25
New York,10,8,48,12,13
North Carolina,15,13,62,15,19
North Dakota,0,14,85,0,0
Ohio,13,12,55,14,16
Oklahoma,16,16,66,18,25
Oregon,16,13,56,11,19
Pennsylvania,13,11,71,16,17
Rhode Island,0,13,37,0,21
South Carolina,10,10,62,13,15
South Dakota,0,19,92,0,0
Tennessee,8,10,71,16,15
Texas,11,9,53,14,15
Utah,20,20,50,15,20
Vermont,0,0,49,0,0
Virginia,11,9,54,12,13
Washington,14,11,44,11,14
West Virginia,0,23,95,0,18
Wisconsin,14,15,45,10,21
Wyoming,0,25,45,0,0
