geoName,2 diabetes,Type 2 diabetes,Hypertension,Diabetes in,Type 2
Alabama,14,13,68,21,24
Alaska,0,13,44,0,0
Arizona,13,13,57,17,21
Arkansas,27,24,56,18,27
California,13,11,49,13,16
Colorado,11,9,58,14,14
Connecticut,14,14,55,14,19
District of Columbia,12,12,55,14,16
Florida,13,12,55,12,17
Georgia,13,12,58,13,16
Hawaii,0,19,65,0,21
Idaho,0,16,50,0,24
Illinois,15,12,59,19,18
Indiana,22,21,70,23,20
Iowa,12,14,71,14,19
Kansas,10,12,51,11,17
Kentucky,29,26,87,26,31
Louisiana,12,9,77,19,12
Maine,22,22,47,0,29
Maryland,15,13,72,19,17
Massachusetts,12,12,61,17,17
Michigan,17,17,61,19,22
Minnesota,17,16,68,17,25
Mississippi,0,6,81,0,17
Missouri,15,15,73,15,21
Montana,0,24,61,0,40
Nebraska,16,16,77,0,19
Nevada,11,11,43,0,15
New Hampshire,0,7,49,0,9
New Jersey,12,12,55,16,15
New Mexico,0,30,46,0,31
New York,12,11,54,13,15
North Carolina,20,18,63,14,21
North Dakota,0,37,100,0,0
Ohio,15,12,59,15,17
Oklahoma,17,10,45,15,25
Oregon,15,14,53,16,18
Pennsylvania,17,16,69,17,21
Rhode Island,0,8,61,0,13
South Carolina,7,8,63,19,14
South Dakota,0,38,67,0,0
Tennessee,17,17,73,22,21
Texas,15,14,61,16,18
Utah,13,7,46,11,17
Vermont,0,23,58,0,0
Virginia,13,14,57,16,18
Washington,17,16,58,13,22
West Virginia,0,14,62,0,14
Wisconsin,14,10,56,12,18
Wyoming,0,41,71,0,0
