geoName,Insulin,Glucose,Heart Disease,Cholesterol,Diabetes
Alabama,14,9,16,19,84
Alaska,12,8,16,20,80
Arizona,15,12,9,23,75
Arkansas,15,12,16,29,94
California,11,11,9,19,64
Colorado,12,10,9,25,65
Connecticut,15,14,13,24,63
Delaware,5,14,15,25,87
District of Columbia,11,11,8,20,74
Florida,12,10,10,24,70
Georgia,12,11,10,20,77
Hawaii,10,10,13,19,78
Idaho,15,10,9,19,79
Illinois,12,13,10,20,73
Indiana,15,15,10,21,85
Iowa,13,15,11,25,90
Kansas,13,10,12,16,71
Kentucky,15,14,14,28,92
Louisiana,15,11,11,21,89
Maine,10,13,16,24,77
Maryland,13,12,14,24,73
Massachusetts,13,11,10,20,80
Michigan,14,9,11,19,73
Minnesota,13,11,12,21,84
Mississippi,14,16,13,32,95
Missouri,14,13,12,23,85
Montana,16,15,12,20,76
Nebraska,21,9,12,15,100
Nevada,8,11,14,15,67
New Hampshire,11,13,15,17,71
New Jersey,13,10,11,22,71
New Mexico,15,18,11,18,85
New York,11,10,11,20,70
North Carolina,14,12,13,25,87
North Dakota,23,19,25,14,79
Ohio,13,13,11,17,79
Oklahoma,12,12,12,21,78
Oregon,14,11,11,22,75
Pennsylvania,17,11,13,22,81
Rhode Island,11,11,11,23,81
South Carolina,9,12,11,23,82
South Dakota,21,12,16,27,91
Tennessee,15,11,14,21,86
Texas,12,11,10,22,80
Utah,14,10,13,17,75
Vermont,15,13,16,22,86
Virginia,12,11,10,24,78
Washington,13,11,10,18,68
West Virginia,14,18,13,20,82
Wisconsin,17,12,13,21,76
Wyoming,21,11,12,20,97
