geoName,Corticosteroids,Obstructive sleep apnea,Blood glucose,Glucose levels,Hyperglycemia
Alabama,14,8,89,40,46
Arizona,20,7,70,38,34
Arkansas,14,0,76,30,21
California,10,3,45,23,17
Colorado,14,5,66,27,19
Connecticut,9,3,86,40,23
District of Columbia,9,0,55,33,25
Florida,15,4,60,35,25
Georgia,9,6,65,30,20
Illinois,13,7,69,34,29
Indiana,18,5,93,48,31
Iowa,23,0,100,37,31
Kansas,15,5,63,29,29
Kentucky,21,6,78,34,33
Louisiana,21,12,61,51,19
Maryland,11,6,72,28,27
Massachusetts,12,5,60,24,23
Michigan,13,7,65,28,32
Minnesota,21,5,69,34,29
Mississippi,26,0,62,27,27
Missouri,22,7,91,37,32
Nevada,8,0,41,16,30
New Jersey,16,3,60,33,24
New York,14,4,53,29,25
North Carolina,18,7,75,34,28
Ohio,22,6,64,31,36
Oklahoma,14,0,58,27,31
Oregon,17,3,66,30,25
Pennsylvania,22,6,67,33,32
South Carolina,18,0,78,42,33
Tennessee,22,11,71,47,29
Texas,17,6,69,37,27
Utah,13,0,47,28,33
Virginia,9,2,31,16,16
Washington,15,5,57,29,26
Wisconsin,19,5,74,37,27
