geoName,Insulin,Glucose,Heart Disease,Cholesterol,Diabetes
Alabama,21,25,13,27,90
Alaska,15,24,11,19,90
Arizona,22,24,11,24,87
Arkansas,23,22,13,23,91
California,18,21,9,20,76
Colorado,19,21,9,20,76
Connecticut,23,24,12,28,89
Delaware,22,23,13,27,95
District of Columbia,17,19,9,21,76
Florida,21,21,11,25,80
Georgia,18,19,10,21,78
Hawaii,17,21,11,21,83
Idaho,22,23,11,23,88
Illinois,19,21,10,21,79
Indiana,29,28,13,25,97
Iowa,22,23,11,22,86
Kansas,18,19,10,19,72
Kentucky,26,24,12,25,95
Louisiana,23,22,10,23,85
Maine,23,23,12,24,90
Maryland,22,25,12,27,94
Massachusetts,22,23,10,23,86
Michigan,21,23,11,22,81
Minnesota,22,25,13,23,86
Mississippi,26,25,13,25,95
Missouri,24,25,12,24,87
Montana,22,22,13,23,81
Nebraska,22,22,12,22,87
Nevada,17,19,9,20,83
New Hampshire,22,23,10,22,78
New Jersey,20,22,10,25,81
New Mexico,23,24,11,22,93
New York,17,19,9,21,73
North Carolina,22,22,11,24,83
North Dakota,24,28,12,25,88
Ohio,24,24,12,24,86
Oklahoma,21,21,10,24,83
Oregon,16,17,9,16,72
Pennsylvania,22,24,12,25,88
Rhode Island,19,23,12,25,83
South Carolina,21,20,10,22,80
South Dakota,34,31,15,29,100
Tennessee,25,24,12,25,90
Texas,18,20,9,20,80
Utah,21,21,10,18,89
Vermont,19,22,11,22,77
Virginia,14,15,8,16,63
Washington,20,23,10,21,79
West Virginia,29,26,13,30,96
Wisconsin,21,24,12,22,82
Wyoming,27,24,11,20,87
