geoName,2 diabetes,Type 2 diabetes,Hypertension,Diabetes in,Type 2
Alabama,33,31,80,48,40
Alaska,0,35,58,0,0
Arizona,31,31,71,39,42
Arkansas,38,34,72,50,47
California,28,25,53,29,32
Colorado,31,28,52,31,36
Connecticut,30,32,70,40,41
Delaware,0,31,70,0,0
District of Columbia,22,21,57,30,33
Florida,29,26,65,35,36
Georgia,28,26,64,37,37
Hawaii,0,28,61,0,39
Idaho,0,36,65,0,42
Illinois,29,25,60,33,37
Indiana,39,36,70,44,48
Iowa,34,33,64,38,44
Kansas,34,29,59,43,42
Kentucky,32,29,79,45,42
Louisiana,31,31,78,42,41
Maine,34,32,66,0,46
Maryland,32,31,73,40,41
Massachusetts,29,27,63,38,36
Michigan,30,29,68,40,38
Minnesota,30,29,68,41,40
Mississippi,0,35,87,0,51
Missouri,33,31,68,43,46
Montana,0,31,62,0,39
Nebraska,28,27,77,0,40
Nevada,28,22,57,0,33
New Hampshire,0,34,60,0,39
New Jersey,31,28,63,37,37
New Mexico,0,32,72,0,42
New York,25,23,55,30,33
North Carolina,30,28,66,41,41
North Dakota,0,29,92,0,0
Ohio,33,30,74,45,43
Oklahoma,33,29,70,41,42
Oregon,33,31,60,37,41
Pennsylvania,32,29,72,40,40
Rhode Island,0,25,64,0,36
South Carolina,37,34,68,47,44
South Dakota,0,42,100,0,0
Tennessee,34,33,83,45,46
Texas,28,26,59,35,36
Utah,33,32,59,39,39
Vermont,0,27,52,0,0
Virginia,30,27,58,38,37
Washington,31,29,54,32,39
West Virginia,0,30,87,0,50
Wisconsin,33,31,64,41,42
