geoName,Corticosteroids,Obstructive sleep apnea,Blood glucose,Glucose levels,Hyperglycemia
Alabama,23,8,76,45,35
Arizona,17,5,72,43,32
Arkansas,17,0,73,31,35
California,10,4,42,21,18
Colorado,15,5,65,42,26
Connecticut,16,7,72,46,28
District of Columbia,19,0,68,32,26
Florida,18,6,67,34,32
Georgia,16,7,66,32,27
Illinois,18,5,72,38,33
Indiana,21,9,100,51,43
Iowa,24,0,98,32,49
Kansas,22,4,68,30,35
Kentucky,26,11,86,37,42
Louisiana,26,8,72,43,35
Maryland,15,5,80,37,40
Massachusetts,19,6,63,30,27
Michigan,21,8,77,47,41
Minnesota,19,11,86,51,38
Mississippi,22,0,75,38,40
Missouri,19,6,86,40,35
Nevada,19,0,64,27,33
New Jersey,16,4,64,35,25
New York,17,5,61,34,29
North Carolina,18,5,73,34,30
Ohio,22,7,79,46,36
Oklahoma,13,0,82,42,30
Oregon,19,5,70,37,27
Pennsylvania,24,7,78,47,36
South Carolina,16,0,64,35,40
Tennessee,21,9,95,43,45
Texas,17,5,66,36,33
Utah,13,0,73,51,35
Virginia,9,3,33,14,14
Washington,18,5,71,36,29
Wisconsin,22,6,77,46,35
