geoName,Corticosteroids,Obstructive sleep apnea,Blood glucose,Glucose levels,Hyperglycemia
Alabama,25,5,77,41,43
Arizona,21,7,85,44,37
Arkansas,33,0,95,49,35
California,18,5,69,35,27
Colorado,20,5,66,33,24
Connecticut,19,8,82,37,35
District of Columbia,19,0,63,37,29
Florida,22,5,73,37,33
Georgia,18,5,66,34,30
Illinois,19,5,71,38,32
Indiana,22,7,100,49,34
Iowa,21,0,79,45,41
Kansas,21,6,82,39,33
Kentucky,25,7,82,40,41
Louisiana,21,6,77,43,37
Maryland,21,8,78,43,31
Massachusetts,22,5,70,37,34
Michigan,26,6,83,42,34
Minnesota,19,6,85,41,38
Mississippi,30,0,88,49,38
Missouri,26,5,90,44,40
Nevada,22,0,60,32,35
New Jersey,24,6,74,38,27
New York,20,5,61,33,27
North Carolina,21,7,76,41,31
Ohio,24,6,88,47,38
Oklahoma,24,0,89,41,42
Oregon,15,3,54,26,23
Pennsylvania,26,8,85,43,38
South Carolina,25,0,88,45,35
Tennessee,24,9,87,40,47
Texas,19,6,70,37,35
Utah,20,0,71,38,32
Virginia,23,6,75,37,30
Washington,18,6,78,38,26
Wisconsin,19,6,80,47,35
