geoName,Corticosteroids,Obstructive sleep apnea,Blood glucose,Glucose levels,Hyperglycemia
Alabama,23,7,74,45,39
Arizona,23,7,81,42,35
Arkansas,25,0,98,49,35
California,17,6,68,36,28
Colorado,17,6,61,34,27
Connecticut,25,7,79,41,36
District of Columbia,20,0,56,34,24
Florida,22,6,76,42,31
Georgia,19,6,67,36,27
Illinois,22,5,70,41,31
Indiana,22,7,100,54,39
Iowa,23,0,78,47,26
Kansas,18,7,68,37,27
Kentucky,24,8,81,45,35
Louisiana,22,6,75,38,38
Maryland,26,8,92,46,36
Massachusetts,24,4,77,39,32
Michigan,20,6,72,40,34
Minnesota,21,8,85,42,38
Mississippi,21,0,88,45,51
Missouri,25,7,82,42,42
Nevada,17,0,62,38,23
New Jersey,22,6,71,37,27
New York,18,4,60,32,30
North Carolina,21,6,75,41,30
Ohio,25,6,95,53,36
Oklahoma,21,0,81,42,37
Oregon,13,3,55,24,22
Pennsylvania,22,8,79,43,38
South Carolina,22,0,77,43,37
Tennessee,27,9,91,44,41
Texas,19,5,71,39,33
Utah,21,0,81,33,29
Virginia,15,5,57,30,23
Washington,19,6,81,38,31
Wisconsin,20,7,85,49,39
