geoName,Corticosteroids,Obstructive sleep apnea,Blood glucose,Glucose levels,Hyperglycemia
Alabama,25,8,72,36,53
Arizona,14,7,79,36,28
Arkansas,20,0,73,15,33
California,12,5,59,23,21
Colorado,9,6,68,42,23
Connecticut,10,3,95,33,24
District of Columbia,19,0,66,25,24
Florida,17,7,75,28,28
Georgia,17,8,73,30,26
Illinois,12,6,64,26,28
Indiana,20,7,93,44,40
Iowa,17,0,70,31,36
Kansas,18,11,81,42,39
Kentucky,17,6,78,37,40
Louisiana,23,5,94,39,39
Maryland,15,8,91,34,36
Massachusetts,18,6,76,35,27
Michigan,20,6,84,36,31
Minnesota,20,8,96,36,29
Mississippi,6,0,96,19,38
Missouri,17,6,87,35,35
Montana,18,0,0,12,44
Nevada,16,0,48,31,16
New Jersey,13,6,82,30,29
New York,14,4,59,22,29
North Carolina,13,7,78,28,30
Ohio,21,7,79,37,31
Oklahoma,30,0,92,51,35
Oregon,22,4,100,29,25
Pennsylvania,22,7,87,30,30
South Carolina,9,0,94,38,43
Tennessee,19,9,89,28,37
Texas,17,7,72,25,29
Utah,16,0,62,39,40
Virginia,10,5,53,21,27
Washington,9,6,78,28,24
Wisconsin,13,2,72,26,37
