geoName,Insulin,Glucose,Heart Disease,Cholesterol,Diabetes
Alabama,22,21,12,27,93
Alaska,15,18,11,18,86
Arizona,21,21,12,24,84
Arkansas,21,23,14,26,94
California,16,18,9,22,70
Colorado,17,17,10,22,69
Connecticut,18,20,12,27,79
Delaware,19,23,13,29,89
District of Columbia,13,16,10,22,74
Florida,19,18,11,24,76
Georgia,17,17,10,23,74
Hawaii,16,19,11,22,81
Idaho,25,20,14,26,92
Illinois,17,17,10,22,75
Indiana,26,26,15,26,91
Iowa,22,22,14,25,85
Kansas,20,22,11,24,82
Kentucky,24,20,13,25,93
Louisiana,22,19,10,22,85
Maine,20,22,14,24,88
Maryland,20,23,13,27,88
Massachusetts,19,20,10,23,80
Michigan,19,18,11,22,77
Minnesota,20,23,13,24,82
Mississippi,23,23,14,27,98
Missouri,21,21,12,24,83
Montana,17,21,10,23,85
Nebraska,21,22,11,25,89
Nevada,16,17,10,23,76
New Hampshire,18,22,13,25,83
New Jersey,18,20,10,27,82
New Mexico,23,23,14,24,92
New York,16,16,10,22,71
North Carolina,19,19,13,25,85
North Dakota,28,25,13,23,96
Ohio,22,22,12,26,86
Oklahoma,22,22,11,25,87
Oregon,19,21,12,24,82
Pennsylvania,21,22,13,26,84
Rhode Island,19,20,12,24,84
South Carolina,18,19,12,26,86
South Dakota,26,27,14,27,100
Tennessee,25,22,13,28,92
Texas,17,18,9,22,79
Utah,20,21,9,20,81
Vermont,17,23,12,21,77
Virginia,17,21,12,27,86
Washington,17,19,10,21,73
West Virginia,28,27,14,29,99
Wisconsin,20,21,12,24,80
Wyoming,18,19,11,24,83
