geoName,Corticosteroids,Obstructive sleep apnea,Blood glucose,Glucose levels,Hyperglycemia
Alabama,15,10,55,23,23
Alaska,27,0,0,0,73
Arizona,12,8,59,21,31
Arkansas,21,0,63,32,34
California,11,7,48,15,22
Colorado,14,6,49,23,16
Connecticut,14,0,58,35,37
Delaware,67,0,0,100,57
District of Columbia,8,0,60,9,13
Florida,16,6,58,19,29
Georgia,11,9,77,32,25
Illinois,19,7,58,17,29
Indiana,15,10,89,23,29
Iowa,29,0,80,33,19
Kansas,16,11,77,16,26
Kentucky,14,12,76,18,32
Louisiana,0,9,54,33,38
Maryland,16,9,74,26,33
Massachusetts,15,7,62,21,27
Michigan,11,7,68,23,20
Minnesota,12,6,56,18,17
Mississippi,47,0,98,51,67
Missouri,18,8,76,22,29
Montana,32,0,0,56,98
Nevada,18,0,57,25,27
New Jersey,13,6,65,20,26
New York,16,6,48,13,23
North Carolina,15,10,66,29,34
Ohio,19,10,68,20,23
Oklahoma,22,0,80,18,33
Oregon,14,5,77,22,18
Pennsylvania,19,7,61,13,36
South Carolina,13,0,49,10,23
Tennessee,20,9,78,34,30
Texas,14,9,61,19,29
Utah,30,0,49,37,51
Virginia,11,5,56,12,22
Washington,12,2,50,23,27
Wisconsin,10,8,59,29,35
